Serial No.,District/State,Female Literacy,% of Agriculture Labour 2011,"Wealth Index Score, 2011",MPCE(MMRP) at 2011-12,"Poverty Head Ratio (%), 2010 - 2011","Poverty Gap Ratio (%), 2010-11","Squared Poverty Gap Ratio %, 2010-11","Gini, 2010 - 2011",Log Mean Deviation,Theil Index,All India Rank of District in poverty head count ratio,Distric Rank in Poverty Head Count Ratio among all Districts in the State,"Sample Size, NSS"
212,Purbi Singhbhum,66.81,23.52,39.22,"1,083",49.54,11.54,3.54,0.26,0.11,0.15,489,10,190
213,Deoghar,51.80,34.87,24.69,"1,086",52.31,13.08,4.30,0.27,0.12,0.16,516,11,255
214,Garhwa,47.58,54.40,16.24,"1,006",53.63,10.61,3.07,0.22,0.08,0.09,525,12,255
215,Kodarma,53.23,22.32,27.16,"1,039",54.87,12.98,4.56,0.27,0.12,0.16,532,13,191
216,Chatra,49.92,42.24,20.22,920,60.74,12.87,3.82,0.21,0.07,0.18,569,14,192
217,Latehar,48.68,41.56,15.57,967,60.79,13.42,3.98,0.25,0.10,0.21,570,15,192
218,Gumla,55.90,17.00,19.47,926,61.46,12.70,3.71,0.21,0.08,0.14,573,16,192
219,Lohardaga,57.69,32.23,22.22,887,63.30,17.82,7.27,0.24,0.10,0.10,579,17,192
220,Godda,44.14,51.08,17.70,868,66.74,13.94,3.77,0.18,0.05,0.08,589,18,255
221,Dumka,48.82,44.46,17.59,920,66.75,14.86,4.64,0.23,0.09,0.13,590,19,255
222,Sahibganj,43.31,36.12,14.30,889,68.33,17.29,5.91,0.23,0.08,0.12,594,20,255
223,Ramgarh,63.09,13.04,34.62,834,69.55,15.84,4.37,0.18,0.06,0.10,599,21,192
224,Pashchimi,46.25,33.72,17.68,843,74.66,17.08,5.02,0.19,0.06,0.11,612,22,192
225,Singhbhum Simdega,59.92,26.92,17.72,,,,,,,,,,
226,Saraikela Kharsawan,55.88,30.20,26.76,,,,,,,,,,
,Jharkhand,55.42,30.74,26.38,"1,175",47.72,10.89,3.48,0.30,0.14,0.26,,,"5,485"
227,Udupi,81.58,8.43,44.67,"2,483",5.34,0.80,0.20,0.32,0.17,0.31,20,1,191
228,Bangalore,84.01,1.70,63.71,"3,806",5.59,0.70,0.16,0.36,0.21,0.38,22,2,990
229,Kodagu,78.14,3.29,42.80,"2,292",5.70,0.84,0.21,0.26,0.11,0.16,23,3,160
230,Dakshina Kannada,84.13,2.34,43.13,"2,925",6.92,1.27,0.33,0.44,0.32,0.89,26,4,320
231,Hassan,68.60,12.05,37.07,"1,412",8.70,1.21,0.27,0.18,0.06,0.08,41,5,280
232,Kolar,66.84,18.58,35.68,"1,780",8.84,1.20,0.26,0.26,0.11,0.19,44,6,288
233,Chikkaballapur,61.55,20.29,29.96,"2,781",9.89,1.38,0.31,0.39,0.25,0.48,54,7,"2,910"
234,Ramanagara,61.50,12.12,29.25,"2,781",9.89,1.38,0.31,0.39,0.25,0.48,55,8,"2,910"
235,Mysore,67.06,17.30,40.57,"2,034",12.00,1.87,0.42,0.33,0.18,0.28,72,9,416
236,Shimoga,74.84,21.83,39.24,"1,455",12.55,2.84,0.88,0.21,0.07,0.08,77,10,256
237,Uttara Kannada,78.39,13.72,35.58,"1,621",15.97,2.82,0.72,0.22,0.08,0.12,128,11,256
238,Chamarajanagar,54.92,31.91,27.28,"1,533",16.52,2.66,0.52,0.25,0.10,0.13,139,12,192
239,Tumkur,67.38,17.63,33.50,"1,494",17.04,2.58,0.51,0.24,0.09,0.12,146,13,352
240,Mandya,62.54,16.90,34.76,"1,610",19.07,3.13,0.81,0.26,0.11,0.15,171,14,256
241,Chikmagalur,73.16,14.60,38.10,"1,372",19.59,2.89,0.77,0.18,0.05,0.06,183,15,184
242,Chitradurga,65.88,22.76,27.01,"1,273",23.44,4.45,1.12,0.21,0.07,0.08,221,16,191
243,Haveri,70.46,29.20,26.44,"1,376",23.86,3.78,0.97,0.24,0.09,0.11,229,17,192
244,Bangalore Rural,70.63,12.19,41.47,"1,405",27.85,2.97,0.65,0.29,0.14,0.28,273,18,224
245,Raichur,48.73,26.01,29.99,"1,425",30.22,6.65,2.20,0.28,0.12,0.19,283,19,256
246,Davanagere,68.91,22.41,34.32,"1,430",33.59,5.80,1.85,0.28,0.13,0.19,322,20,256
247,Dharwad,73.46,15.65,37.42,"1,617",34.15,7.39,2.39,0.34,0.18,0.35,325,21,288
248,Bidar,61.55,26.85,26.95,"1,256",36.52,6.78,2.04,0.23,0.08,0.11,350,22,224
249,Bellary,58.09,20.77,32.21,"1,250",37.68,7.04,2.03,0.21,0.08,0.14,366,23,384
250,Bijapur,56.72,23.14,30.16,"1,155",37.93,4.91,1.18,0.20,0.07,0.09,371,24,320
251,Belgaum,64.58,19.96,34.81,"1,268",38.38,7.56,2.23,0.26,0.12,0.35,378,25,447
252,Gadag,65.44,23.90,27.75,"1,122",41.37,12.13,4.34,0.26,0.11,0.14,404,26,192
253,Gulbarga,55.09,24.80,29.04,"1,204",41.64,7.83,2.19,0.23,0.09,0.15,409,27,416
254,Koppal,57.55,26.30,27.51,"1,133",50.61,11.10,3.79,0.26,0.11,0.15,495,28,192
255,Bagalkot,58.40,22.57,29.83,"1,075",53.51,12.69,4.78,0.27,0.12,0.21,524,29,256
256,Yadgir,41.38,25.29,19.96,,,,,,,,,,
,Karnataka,68.08,16.67,39.10,"2,031",21.52,3.97,1.17,0.39,0.24,0.56,,,"8,171"
257,Idukki,89.45,19.20,34.77,"3,029",3.70,1.09,0.39,0.40,0.28,2.90,6,1,320
258,Thiruvananthapuram,91.17,6.89,46.78,"3,281",3.92,0.89,0.34,0.36,0.22,0.47,9,2,957
259,Kottayam,96.48,7.28,46.21,"3,110",4.95,0.55,0.11,0.37,0.23,0.61,17,3,511
260,Pathanamthitta,95.83,12.77,46.08,"2,563",7.64,1.05,0.25,0.31,0.16,0.27,31,4,384
261,Kollam,92.31,9.13,42.83,"2,605",8.50,1.37,0.30,0.35,0.20,0.35,36,5,640
262,Thrissur,93.56,5.04,50.89,"2,661",8.50,1.51,0.46,0.36,0.22,0.88,37,6,894
263,Ernakulam,94.46,4.50,55.78,"3,412",10.15,1.99,0.73,0.42,0.30,0.80,59,7,872
264,Palakkad,85.79,15.26,38.19,"2,401",10.24,1.83,0.50,0.39,0.27,3.92,61,8,704
265,Malappuram,91.62,9.93,37.03,"2,123",11.10,2.09,0.61,0.37,0.25,1.71,66,9,768
266,Alappuzha,94.24,7.34,48.40,"2,369",11.58,2.39,0.71,0.32,0.17,0.32,69,10,575
267,Wayanad,85.70,22.74,32.08,"1,988",14.43,2.68,0.86,0.31,0.15,0.23,103,11,256
268,Kozhikode,92.99,6.11,42.59,"2,170",15.47,3.30,1.15,0.33,0.18,0.47,122,12,880
269,Kannur,93.29,7.42,42.03,"2,044",19.85,3.73,1.09,0.31,0.16,0.35,186,13,768
270,Kasaragod,86.49,6.56,35.71,"1,565",21.09,5.01,1.78,0.26,0.11,0.22,200,14,384
,Kerala,92.07,8.89,44.30,"2,588",10.48,2.02,0.63,0.38,0.24,1.04,,,"8,913"
271,Lakshadweep,87.95,0.00,45.91,"2,648",4.19,0.66,0.15,0.31,0.15,0.31,10,,374
272,Indore,74.02,10.20,53.88,"2,492",12.66,2.77,0.81,0.30,0.15,0.21,80,1,344
273,Ashoknagar,53.42,32.32,18.43,"1,523",13.78,2.40,0.66,0.18,0.06,0.08,90,2,128
274,Chhatarpur,53.59,25.11,23.18,"1,483",17.26,3.87,1.08,0.23,0.09,0.12,151,3,190
275,Mandsaur,57.98,27.71,27.33,"1,382",17.35,3.21,0.74,0.21,0.07,0.12,153,4,184
276,Tikamgarh,49.97,26.45,21.91,"1,323",18.91,3.92,1.11,0.19,0.06,0.07,170,5,192
277,Dewas,57.76,32.52,27.78,"1,804",22.42,4.13,1.00,0.34,0.18,0.26,214,6,224
278,Ujjain,60.74,25.62,31.73,"1,906",23.68,3.39,0.93,0.35,0.20,0.35,224,7,256
279,Shajapur,55.93,32.88,22.33,"1,352",24.80,4.88,1.60,0.25,0.10,0.15,236,8,192
280,Neemuch,57.13,21.12,29.88,"1,349",25.07,4.13,1.16,0.20,0.07,0.10,239,9,128
281,Dhar,48.77,30.22,19.57,"1,397",25.46,3.75,0.95,0.24,0.10,0.18,249,10,224
282,Gwalior,67.38,15.29,40.84,"1,727",26.96,7.27,2.43,0.33,0.18,0.29,265,11,192
283,Alirajpur,30.29,16.09,8.62,"1,665",27.23,5.56,1.64,0.32,0.17,0.28,270,12,"2,184"
284,Shivpuri,48.79,22.52,18.12,"1,498",28.79,3.50,0.70,0.27,0.12,0.16,280,13,191
285,Hoshangabad,66.45,31.25,28.30,"1,466",30.78,8.74,3.05,0.34,0.19,0.59,293,14,159
286,Bhopal,74.87,9.99,48.73,"3,066",33.27,8.17,2.83,0.46,0.36,0.47,316,15,318
287,Guna,51.36,29.09,23.16,"1,250",34.20,9.65,3.73,0.23,0.09,0.12,326,16,160
288,Ratlam,55.77,34.53,24.27,"1,303",35.96,7.18,1.93,0.21,0.07,0.11,346,17,216
289,Datia,59.41,23.94,24.72,"1,277",36.17,6.97,2.57,0.23,0.08,0.10,348,18,128
290,Rajgarh,48.95,36.61,17.21,"1,416",36.66,7.80,2.20,0.30,0.15,0.25,353,19,192
291,Sehore,58.33,32.70,27.33,"1,394",40.18,10.28,3.60,0.34,0.19,0.46,393,20,191
292,Raisen,64.24,37.71,20.18,"1,318",43.16,9.30,2.81,0.28,0.12,0.19,429,21,191
293,Narsimhapur,67.06,41.82,18.99,"1,283",45.12,14.71,5.79,0.33,0.18,0.34,443,22,192
294,Harda,63.27,35.62,25.72,"1,264",47.31,15.26,6.07,0.32,0.17,0.20,466,23,128
295,Vidisha,60.85,36.21,20.75,"1,109",48.79,13.57,5.32,0.26,0.11,0.14,484,24,192
296,Jhabua,33.77,16.92,8.98,"1,074",50.86,11.78,3.21,0.24,0.09,0.11,498,25,160
297,Seoni,63.67,44.94,16.24,"1,118",51.04,12.61,4.49,0.27,0.12,0.16,501,26,192
298,Bhind,63.14,28.47,26.06,"1,057",51.74,12.50,4.27,0.19,0.06,0.08,510,27,192
299,Morena,56.90,19.86,22.71,"1,141",54.32,11.64,3.40,0.26,0.11,0.20,527,28,192
300,Sagar,67.02,31.01,21.08,"1,135",56.17,14.82,5.35,0.26,0.11,0.14,541,29,288
301,Anuppur,57.30,29.51,21.33,"1,250",57.31,16.43,6.24,0.37,0.22,0.46,550,30,128
302,Damoh,59.22,35.96,17.27,"1,071",57.46,10.81,3.06,0.23,0.09,0.19,553,31,192
303,Chhindwara,63.01,33.48,20.58,"1,374",57.62,21.75,10.30,0.44,0.33,0.49,555,32,320
304,Singrauli,48.53,34.82,18.58,"1,047",58.51,17.32,7.02,0.30,0.14,0.22,557,33,"1,694"
305,Jabalpur,74.37,22.93,36.32,"1,455",58.76,17.68,6.99,0.40,0.25,0.37,560,34,248
306,Shahdol,56.99,45.52,19.70,988,59.00,17.97,7.78,0.28,0.14,0.23,562,35,128
307,West Nimar,53.03,30.07,17.94,998,60.34,14.96,5.32,0.24,0.09,0.11,568,36,192
308,Burhanpur,56.58,31.93,18.78,"1,100",61.15,14.29,4.49,0.23,0.09,0.19,571,37,128
309,Sheopur,44.23,35.16,14.58,"1,062",61.32,16.91,5.92,0.28,0.13,0.21,572,38,128
310,Katni,61.56,35.70,19.35,"1,145",64.06,18.52,6.42,0.35,0.19,0.32,582,39,192
311,East Nimar,55.92,33.83,18.54,"1,074",64.44,11.78,3.07,0.23,0.09,0.13,583,40,183
312,Balaghat,69.04,41.52,19.39,901,68.04,21.82,8.75,0.27,0.11,0.17,592,41,224
313,Barwani,42.39,27.02,12.65,900,68.42,19.47,7.29,0.24,0.09,0.12,595,42,192
314,Dindori,52.41,36.82,7.02,811,71.43,22.65,8.80,0.22,0.08,0.10,603,43,128
315,Rewa,61.16,37.54,24.34,915,72.64,20.46,8.07,0.26,0.11,0.20,609,44,224
316,Mandla,56.39,44.96,11.98,860,73.87,20.59,7.96,0.23,0.09,0.12,611,45,192
317,Umaria,55.23,44.63,16.74,820,75.64,23.66,9.79,0.25,0.11,0.17,615,46,128
318,Sidhi,54.07,46.70,16.32,830,78.38,22.09,8.97,0.24,0.10,0.18,616,47,192
319,Betul,60.94,35.45,20.40,955,79.94,24.21,8.93,0.33,0.19,0.50,620,48,192
320,Satna,62.45,32.95,22.98,797,80.25,29.06,13.19,0.26,0.11,0.15,621,49,288
321,Panna,54.44,37.88,16.35,847,83.14,21.74,7.84,0.24,0.09,0.15,622,50,160
,Madhya Pradesh,59.24,30.37,23.99,1366,46.34,12.28,4.53,0.35,0.20,0.38,,,"9,423"
322,Mumbai Suburban,86.37,0.44,52.65,"3,960",9.36,1.44,0.35,0.39,0.25,0.58,52,1,"1,564"
323,Sindhudurg,79.81,20.14,28.18,"1,617",11.59,2.45,0.60,0.21,0.07,0.08,70,2,192
324,Satara,76.31,12.48,38.13,"1,959",12.40,2.37,0.70,0.31,0.18,0.60,76,3,448
325,Pune,81.05,5.64,56.53,"2,709",14.70,3.15,1.03,0.37,0.23,0.41,106,4,"1,208"
326,Sangli,74.59,14.27,42.25,"1,736",15.10,2.34,0.68,0.24,0.10,0.15,113,5,448
327,Wardha,81.81,28.75,30.71,"1,900",15.11,3.37,1.16,0.24,0.10,0.11,114,6,256
328,Kolhapur,74.22,9.66,43.41,"1,642",16.36,2.99,0.82,0.21,0.07,0.09,136,7,576
329,Osmanabad,70.51,22.69,22.93,"1,636",16.81,3.99,1.19,0.25,0.11,0.19,141,8,256
330,Jalna,60.95,18.06,26.79,"1,458",19.29,3.21,0.89,0.18,0.07,0.19,173,9,320
331,Nagpur,84.51,14.29,52.00,"2,424",19.45,4.24,1.42,0.34,0.18,0.26,178,10,698
332,Thane,79.77,6.64,42.09,"2,757",19.48,4.87,1.95,0.37,0.24,0.33,180,11,"1,446"
333,Raigarh,76.92,13.12,41.36,"2,245",20.31,3.45,0.88,0.35,0.20,0.25,191,12,377
334,Solapur,68.55,16.40,34.20,"1,928",21.10,4.28,1.46,0.28,0.13,0.24,201,13,640
335,Nashik,76.08,14.61,37.02,"1,957",23.26,6.31,2.33,0.30,0.15,0.25,220,14,768
336,Ratnagiri,74.53,14.61,30.89,"1,556",23.71,4.95,1.59,0.25,0.11,0.13,226,15,320
337,Latur,69.63,23.37,24.91,"1,637",25.77,5.46,1.71,0.24,0.10,0.12,254,16,384
338,Ahmadnagar,70.89,13.63,38.16,"1,526",27.13,4.99,1.28,0.24,0.09,0.13,267,17,575
339,Aurangabad,70.08,14.06,34.64,"1,680",30.47,7.36,2.59,0.28,0.13,0.20,287,18,448
340,Yavatmal,75.93,32.71,20.37,"1,412",30.80,6.35,2.32,0.25,0.10,0.20,294,19,448
341,Bid,67.82,16.32,23.92,"1,476",31.10,4.31,1.14,0.24,0.10,0.20,299,20,384
342,Dhule,65.77,26.57,24.75,"1,488",33.10,8.41,3.10,0.24,0.10,0.15,315,21,320
343,Gadchiroli,66.27,31.39,18.77,"1,282",34.11,7.90,2.50,0.24,0.10,0.15,324,22,192
344,Jalgaon,70.56,30.70,25.43,"1,630",34.46,5.59,1.63,0.26,0.11,0.18,332,23,576
345,Gondia,77.89,32.68,27.08,"1,753",34.94,6.46,1.60,0.40,0.31,2.19,334,24,255
346,Bhandara,77.08,38.14,28.79,"1,340",36.16,6.81,1.88,0.24,0.09,0.13,347,25,191
347,Hingoli,68.95,23.00,21.44,"1,397",36.96,10.84,3.88,0.27,0.12,0.14,354,26,192
348,Amravati,83.10,36.55,25.05,"1,541",37.38,9.26,3.25,0.29,0.13,0.22,358,27,448
349,Nandurbar,56.47,33.24,13.28,"1,304",39.62,9.02,2.81,0.25,0.11,0.17,386,28,256
350,Nanded,66.15,25.58,21.18,"1,501",40.87,10.40,3.82,0.30,0.15,0.29,394,29,448
351,Akola,83.54,32.44,25.54,"1,462",41.49,7.62,2.46,0.25,0.11,0.19,406,30,255
352,Washim,75.48,33.20,20.62,"1,311",44.14,8.66,2.41,0.23,0.09,0.13,437,31,192
353,Chandrapur,72.97,31.11,26.43,"1,388",44.64,11.45,3.66,0.30,0.15,0.31,440,32,320
354,Buldana,75.84,29.12,21.42,"1,422",45.74,7.22,2.08,0.25,0.10,0.14,453,33,383
355,Parbhani,63.63,21.61,23.72,"1,295",50.20,11.86,3.97,0.25,0.10,0.14,493,34,256
356,Mumbai,86.45,0.36,51.78,,,,,,,,,,
,Maharashtra,75.87,16.72,36.91,"2,139",24.15,5.12,1.68,0.37,0.22,0.53,,,"16,040"
357,Tamenglong,63.69,1.92,11.24,"1,549",7.75,0.62,0.07,0.15,0.04,0.04,33,1,192
358,Imphal East,75.32,8.38,50.10,"1,403",30.92,3.89,0.94,0.18,0.05,0.07,297,2,640
359,Churachandpur,78.50,5.22,24.61,"1,496",31.86,4.90,1.02,0.25,0.10,0.12,303,3,384
360,Ukhrul,76.95,3.53,15.07,"1,208",48.39,5.94,1.02,0.16,0.04,0.05,477,4,256
361,Imphal West,80.17,5.10,55.52,"1,513",48.77,9.82,2.79,0.21,0.07,0.10,482,5,"1,598"
362,Chandel,63.96,9.00,23.98,"1,227",49.65,16.54,6.40,0.24,0.09,0.10,490,6,256
363,Bishnupur,66.68,11.93,40.13,"1,154",63.92,13.13,4.15,0.14,0.03,0.04,581,7,576
364,Thoubal,64.09,13.97,38.42,"1,229",66.37,17.12,5.98,0.23,0.09,0.14,588,8,960
365,Senapati,68.07,6.28,20.81,998,71.84,14.34,3.72,0.12,0.02,0.03,604,9,256
,Manipur,72.37,7.84,38.03,"1,333",48.69,9.98,3.01,0.21,0.07,0.10,,,"5,118"
366,South Garo Hills,66.90,8.72,15.01,"1,641",11.05,2.04,0.67,0.18,0.06,0.07,65,1,192
367,East Garo Hills,70.05,12.72,18.42,"1,572",17.63,2.87,0.79,0.17,0.05,0.05,155,2,256
368,East Khasi Hills,83.81,9.18,25.74,"1,895",20.64,3.09,0.79,0.25,0.10,0.12,194,3,696
369,West Garo Hills,62.70,12.45,19.53,"1,474",26.37,3.67,0.84,0.20,0.06,0.09,258,4,500
370,Jaintia Hills,65.06,18.26,15.80,"1,426",28.20,5.05,1.33,0.18,0.06,0.08,277,5,312
371,Ri Bhoi,74.49,13.84,19.05,"1,414",33.43,4.71,0.92,0.19,0.05,0.07,319,6,256
372,West Khasi Hills,77.19,17.63,10.49,"1,313",38.92,7.92,2.16,0.19,0.06,0.07,381,,320
,Meghalaya,72.89,13.00,19.53,"1,584",25.36,4.10,1.04,0.22,0.08,0.10,,,"2,532"
373,Aizawl,97.67,4.85,42.35,"2,363",18.34,4.05,1.30,0.26,0.11,0.11,161,1,"1,216"
374,Champhai,94.59,7.45,24.95,"1,785",23.84,5.06,1.55,0.23,0.08,0.09,228,2,384
375,Kolasib,92.38,12.77,26.16,"2,058",24.48,4.96,1.60,0.25,0.10,0.11,232,3,184
376,Lunglei,85.49,10.21,27.50,"1,801",28.12,5.33,1.50,0.24,0.09,0.11,275,4,512
377,Lawngtlai,57.12,6.18,13.10,"1,472",37.59,9.44,2.99,0.25,0.10,0.13,364,5,192
378,Mamit,80.35,4.32,20.97,"1,634",37.61,9.33,3.43,0.26,0.11,0.13,365,6,192
379,Serchhip,97.53,2.72,28.25,"1,746",39.45,7.94,2.43,0.25,0.10,0.12,385,7,192
380,Saiha,87.34,4.52,19.62,"1,533",46.85,10.52,3.31,0.25,0.10,0.11,461,8,192
,Mizoram,89.27,6.56,30.27,"1,946",27.63,6.07,1.93,0.27,0.11,0.13,,,"3,064"
381,Mon,52.58,6.10,9.47,"1,838",8.74,1.66,0.42,0.19,0.06,0.07,42,1,192
382,Longleng,69.63,3.91,9.40,"1,845",11.56,0.52,0.09,0.22,0.08,0.15,68,2,160
383,Kohima,81.48,1.56,33.97,"2,229",13.82,2.30,0.60,0.21,0.07,0.10,91,3,256
384,Tuensang,69.59,3.59,10.29,"1,971",14.72,2.57,0.58,0.20,0.06,0.07,107,4,192
385,Peren,72.58,5.30,14.91,"1,869",14.82,2.37,0.57,0.20,0.06,0.08,108,5,128
386,Kiphire,63.96,3.22,7.18,"2,059",15.89,1.65,0.21,0.19,0.05,0.07,127,6,128
387,Phek,72.21,3.16,15.00,"1,836",17.63,2.22,0.53,0.21,0.07,0.08,156,7,192
388,Dimapur,81.77,4.78,37.74,"2,240",20.37,4.49,1.33,0.24,0.09,0.10,192,8,224
389,Mokokchung,91.01,7.31,25.25,"1,653",20.88,3.95,1.09,0.18,0.05,0.06,198,9,224
390,Zunheboto,82.62,13.91,19.20,"1,794",21.23,3.12,0.58,0.20,0.06,0.08,205,10,192
391,Wokha,84.48,6.84,20.80,"1,821",21.86,3.27,0.74,0.23,0.09,0.14,210,11,160
,Nagaland,76.11,5.47,22.17,"1,955",17.01,2.90,0.74,0.22,0.08,0.10,,,"2,048"
392,North,82.20,0.48,54.38,"3,023",18.86,4.15,1.34,0.34,0.19,0.28,164,1,"1,810"
393,East,84.99,0.41,68.59,"3,023",18.86,4.15,1.34,0.34,0.19,0.28,165,2,"1,810"
394,New Delhi,83.56,0.37,66.48,"3,023",18.86,4.15,1.34,0.34,0.19,0.28,166,3,"1,810"
395,West,82.39,0.43,64.74,"3,023",18.86,4.15,1.34,0.34,0.19,0.28,167,4,"1,810"
396,South West,82.50,0.87,64.76,"3,023",18.86,4.15,1.34,0.34,0.19,0.28,168,5,"1,810"
397,South,80.55,0.55,62.98,"3,023",18.86,4.15,1.34,0.34,0.19,0.28,169,6,"1,810"
398,North West,78.41,0.95,58.36,"3,241",19.67,4.49,1.49,0.36,0.21,0.30,184,7,"1,427"
399,North East,76.67,0.33,51.51,"2,082",24.94,4.74,1.49,0.22,0.08,0.09,238,8,127
400,Central,82.49,0.24,57.26,,,,,,,,,,
,Delhi,80.76,0.60,61.07,"3,023",18.86,4.15,1.34,0.34,0.19,0.28,,,"1,810"
401,Dhenkanal,71.00,34.98,19.80,"1,361",11.62,1.92,0.51,0.24,0.11,0.33,71,1,255
402,Cuttack,79.55,24.90,33.04,"1,447",23.66,3.89,0.99,0.29,0.14,0.25,223,2,380
403,Kendrapara,78.96,29.74,24.84,"1,155",25.14,4.45,1.08,0.21,0.07,0.09,241,3,320
404,Angul,68.64,29.22,25.40,"1,294",25.56,5.79,1.80,0.26,0.11,0.14,252,4,256
405,Puri,78.28,24.47,26.38,"1,118",30.78,7.15,2.38,0.22,0.08,0.11,292,5,320
406,Khordha,81.61,13.49,42.69,"1,731",37.10,7.00,2.07,0.40,0.26,0.43,355,6,320
407,Jajpur,73.29,32.30,23.43,"1,152",37.29,7.14,1.97,0.24,0.09,0.14,357,7,320
408,Jagatsinghpur,80.63,25.05,29.40,"1,155",37.48,7.04,2.09,0.24,0.10,0.16,361,8,256
409,Bhadrak,75.83,31.11,25.46,991,38.57,7.33,2.16,0.19,0.06,0.08,379,9,319
410,Jharsuguda,70.73,19.87,30.98,"1,402",41.27,9.35,3.08,0.34,0.20,0.37,402,10,192
411,Sambalpur,67.93,26.51,27.24,"1,210",42.28,8.87,2.64,0.31,0.16,0.29,417,11,191
412,Ganjam,61.13,32.93,22.56,"1,143",43.80,9.03,2.79,0.27,0.12,0.19,432,12,384
413,Bargarh,65.38,40.88,21.87,"1,051",45.59,8.80,2.28,0.24,0.09,0.15,450,13,320
414,Baleshwar,72.28,34.98,26.24,"1,082",47.53,10.31,3.07,0.27,0.12,0.18,467,14,320
415,Nayagarh,72.05,33.42,19.88,"1,015",48.62,11.13,3.50,0.26,0.11,0.20,478,15,256
416,Balangir,53.50,41.26,19.16,"1,007",52.17,10.01,2.81,0.22,0.08,0.11,514,16,256
417,Debagarh,63.05,44.11,16.03,976,53.24,15.21,5.84,0.29,0.14,0.22,521,17,192
418,Kendujhar,58.28,36.56,20.34,"1,000",54.54,15.52,5.68,0.30,0.14,0.22,529,18,319
419,Gajapati,43.18,40.61,10.08,925,56.00,18.96,8.09,0.29,0.14,0.17,540,19,192
420,Rayagada,39.19,46.92,12.52,916,56.67,14.55,5.45,0.24,0.09,0.11,542,20,192
421,Subarnapur,64.04,42.82,18.94,915,57.15,14.01,4.78,0.23,0.09,0.12,547,21,192
422,Kandhamal,51.94,41.27,12.37,896,58.99,16.46,6.19,0.26,0.11,0.15,561,22,192
423,Sundargarh,65.48,26.57,29.96,"1,192",60.25,15.41,5.37,0.37,0.22,0.49,567,23,383
424,Nuapada,44.76,44.30,16.87,814,64.61,14.27,4.25,0.17,0.05,0.07,584,24,192
425,Kalahandi,46.68,52.30,15.14,833,68.51,18.34,6.57,0.24,0.10,0.18,596,25,320
426,Baudh,59.79,41.08,16.45,813,68.96,15.69,5.24,0.19,0.06,0.10,597,26,192
427,Mayurbhanj,52.71,41.94,19.35,814,69.74,20.48,7.53,0.25,0.10,0.16,600,27,320
428,Koraput,38.55,36.26,14.25,864,72.39,24.86,10.73,0.33,0.18,0.31,608,28,256
